======================================================================================================================================================
LOG DE MUDANÇAS DE ESTADO DOS PROCESSOS
Formato: [Tempo] PID | Nome | Razão | Estado Inicial -> Próximo Estado | Tabela de Páginas
[21:56:16.250] PID: 1   | fatorialV2      | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:16.311] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:16.314] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:16.374] PID: 1   | fatorialV2      | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:16.377] PID: 1   | fatorialV2      | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:16.438] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:16.440] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:16.501] PID: 1   | fatorialV2      | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:16.504] PID: 1   | fatorialV2      | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:16.563] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:16.565] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:16.626] PID: 1   | fatorialV2      | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:16.628] PID: 1   | fatorialV2      | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:16.689] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:16.691] PID: 3   | fibonacci10     | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:40,loc:mp], [pag:2,frame:56,loc:mp], [pag:3,frame:_,loc:_] }
[21:56:16.752] PID: 1   | fatorialV2      | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
[21:56:16.755] PID: 1   | fatorialV2      | Fatia de tempo esgotada | RUNNING    -> READY      | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:48,loc:mp] }
